date_string,cb_to_usd,et_to_usd
"2017 Oct 29, Sunday",6140.01,303.38
"2017 Oct 30, Monday",6124.16,306.87
"2017 Oct 31, Tuesday",6445.01,303.51
"2017 Nov 01, Wednesday",6783.69,290.82
"2017 Nov 02, Thursday",7039.98,285.4
"2017 Nov 03, Friday",7170.01,306
"2017 Nov 04, Saturday",7412.55,301.66
"2017 Nov 05, Sunday",7392,296.57
"2017 Nov 06, Monday",6969.76,297.32
"2017 Nov 07, Tuesday",7126.63,292.42
"2017 Nov 08, Wednesday",7467.96,307.91
"2017 Nov 09, Thursday",7156,320.72
"2017 Nov 10, Friday",6577.62,298.04
"2017 Nov 11, Saturday",6346.7,315.69
"2017 Nov 12, Sunday",5886.35,307.1
"2017 Nov 13, Monday",6535.87,315.56
"2017 Nov 14, Tuesday",6605,335.04
"2017 Nov 15, Wednesday",7294,331.81
"2017 Nov 16, Thursday",7838.53,330.21
"2017 Nov 17, Friday",7714.71,332.31
"2017 Nov 18, Saturday",7777.01,346.6
"2017 Nov 19, Sunday",8031.82,354.59
"2017 Nov 20, Monday",8256.01,368.24
"2017 Nov 21, Tuesday",8109,361.51
"2017 Nov 22, Wednesday",8250,381.73
"2017 Nov 23, Thursday",8031.16,406.61
"2017 Nov 24, Friday",8215.01,470.98
"2017 Nov 25, Saturday",8795.5,466.77
"2017 Nov 26, Sunday",9401.11,473.99
"2017 Nov 27, Monday",9768.71,477.53
"2017 Nov 28, Tuesday",9949,468.52
"2017 Nov 29, Wednesday",9935.98,434.01
"2017 Nov 30, Thursday",9903,434
"2017 Dec 01, Friday",10869.84,463.82
"2017 Dec 02, Saturday",10930.24,460.34
"2017 Dec 03, Sunday",11290,465
"2017 Dec 04, Monday",11643.98,468.22
"2017 Dec 05, Tuesday",11718.35,457.3
"2017 Dec 06, Wednesday",14090,432.49
"2017 Dec 07, Thursday",17390.01,433.28
"2017 Dec 08, Friday",16367.03,463.45
"2017 Dec 09, Saturday",15309.98,485.04
"2017 Dec 10, Sunday",15290.01,447.51
"2017 Dec 11, Monday",16885.76,518
"2017 Dec 12, Tuesday",17730.12,686.82
"2017 Dec 13, Wednesday",16689.61,711.94
"2017 Dec 14, Thursday",16749.78,705.01
"2017 Dec 15, Friday",17738.67,693.5
"2017 Dec 16, Saturday",19650.01,703.59
"2017 Dec 17, Sunday",19378.99,732.18
"2017 Dec 18, Monday",19039.01,785.65
"2017 Dec 19, Tuesday",17838.73,826.65
"2017 Dec 20, Wednesday",16496.89,802.86
"2017 Dec 21, Thursday",15758.8,796.98
"2017 Dec 22, Friday",14210.57,682.11
"2017 Dec 23, Saturday",15075.89,732.8
"2017 Dec 24, Sunday",14221.94,697.04
"2017 Dec 25, Monday",14171.98,740.5
"2017 Dec 26, Tuesday",15790.88,755.07
"2017 Dec 27, Wednesday",15367.08,739.99
"2017 Dec 28, Thursday",14450.01,719.5
"2017 Dec 29, Friday",14565.05,748.89
"2017 Dec 30, Saturday",12839.99,710.58
"2017 Dec 31, Sunday",13863.13,741.27
"2018 Jan 01, Monday",13480.01,759.03
"2018 Jan 02, Tuesday",14781.51,865
"2018 Jan 03, Wednesday",15098.14,938.31
"2018 Jan 04, Thursday",15144.99,949
"2018 Jan 05, Friday",16960.01,969.27
"2018 Jan 06, Saturday",17098.99,1006.68
"2018 Jan 07, Sunday",16174.22,1118.3
"2018 Jan 08, Monday",14993.74,1137.01
"2018 Jan 09, Tuesday",14480.99,1290.01
"2018 Jan 10, Wednesday",14875.18,1246.94
"2018 Jan 11, Thursday",13308.06,1137.01
"2018 Jan 12, Friday",13820,1260
"2018 Jan 13, Saturday",14187.95,1386.02
"2018 Jan 14, Sunday",13656.23,1365.46
"2018 Jan 15, Monday",13590,1278.63
"2018 Jan 16, Tuesday",11570.01,1080
"2018 Jan 17, Wednesday",11200.01,1028.06
"2018 Jan 18, Thursday",11305.53,1025.78
"2018 Jan 19, Friday",11498.99,1037.45
"2018 Jan 20, Saturday",12762.8,1150.02
"2018 Jan 21, Sunday",11518.17,1047.13
"2018 Jan 22, Monday",10766.7,999.68
"2018 Jan 23, Tuesday",10824.94,984.03
"2018 Jan 24, Wednesday",11356.79,1056.99
"2018 Jan 25, Thursday",11118,1040
"2018 Jan 26, Friday",11086.89,1045.57
"2018 Jan 27, Saturday",11319,1100
"2018 Jan 28, Sunday",11536,1215.01
"2018 Jan 29, Monday",11123.01,1162.27
"2018 Jan 30, Tuesday",9995,1054.39
"2018 Jan 31, Wednesday",10099.99,1105.01
"2018 Feb 01, Thursday",9014.23,1017.48
"2018 Feb 02, Friday",8787.52,911.99
"2018 Feb 03, Saturday",9240,969.4
"2018 Feb 04, Sunday",8167.91,826
"2018 Feb 05, Monday",6905.19,693.54
"2018 Feb 06, Tuesday",7688.46,783.83
"2018 Feb 07, Wednesday",7575.75,750.04
"2018 Feb 08, Thursday",8218.1,812
"2018 Feb 09, Friday",8671.01,875.99
"2018 Feb 10, Saturday",8547.49,849.47
"2018 Feb 11, Sunday",8072.99,811.35
"2018 Feb 12, Monday",8872.28,864.4
"2018 Feb 13, Tuesday",8520.01,840.49
"2018 Feb 14, Wednesday",9472.98,920.26
"2018 Feb 15, Thursday",10031.23,929.3
"2018 Feb 16, Friday",10167.49,936.02
"2018 Feb 17, Saturday",11121.5,974.99
"2018 Feb 18, Sunday",10380.04,912.41
"2018 Feb 19, Monday",11140,939.01
"2018 Feb 20, Tuesday",11235.57,884.76
"2018 Feb 21, Wednesday",10454.27,840.34
"2018 Feb 22, Thursday",9830,806
"2018 Feb 23, Friday",10144.99,854.01
"2018 Feb 24, Saturday",9688.62,833.2
"2018 Feb 25, Sunday",9597.99,841.96
"2018 Feb 26, Monday",10300,867.09
"2018 Feb 27, Tuesday",10566.57,871.07
"2018 Feb 28, Wednesday",10307.27,849.99
"2018 Mar 01, Thursday",10895.92,868.74
"2018 Mar 02, Friday",11000,854.31
"2018 Mar 03, Saturday",11432.5,854.34
"2018 Mar 04, Sunday",11469.9,861.74
"2018 Mar 05, Monday",11377.54,848.83
"2018 Mar 06, Tuesday",10700,815.43
"2018 Mar 07, Wednesday",9920,751.38
"2018 Mar 08, Thursday",9304.9,698.83
"2018 Mar 09, Friday",9255,728.82
"2018 Mar 10, Saturday",8795.44,683.6
"2018 Mar 11, Sunday",9533.88,719.8
"2018 Mar 12, Monday",9120,696.51
"2018 Mar 13, Tuesday",9145.41,690.39
"2018 Mar 14, Wednesday",8207.03,614.62
"2018 Mar 15, Thursday",8259.99,610.99
"2018 Mar 16, Friday",8275,600.77
"2018 Mar 17, Saturday",7865.02,549.79
"2018 Mar 18, Sunday",8192,538
"2018 Mar 19, Monday",8589,555.55
"2018 Mar 20, Tuesday",8900,558
"2018 Mar 21, Wednesday",8891.81,559.98
"2018 Mar 22, Thursday",8715.09,539.89
"2018 Mar 23, Friday",8927.1,543.04
"2018 Mar 24, Saturday",8531.34,519.57
"2018 Mar 25, Sunday",8453,522.55
"2018 Mar 26, Monday",8145,486.75
"2018 Mar 27, Tuesday",7793.61,449
"2018 Mar 28, Wednesday",7942.72,445.47
"2018 Mar 29, Thursday",7079.99,383.29
"2018 Mar 30, Friday",6848.01,394.46
"2018 Mar 31, Saturday",6928.5,394.54
"2018 Apr 01, Sunday",6816.01,378.18
"2018 Apr 02, Monday",7045.01,384
"2018 Apr 03, Tuesday",7424.9,416.38
"2018 Apr 04, Wednesday",6791.68,378.43
"2018 Apr 05, Thursday",6785.85,381.26
"2018 Apr 06, Friday",6619.01,370.32
"2018 Apr 07, Saturday",6894.01,384.61
"2018 Apr 08, Sunday",7020.01,399.9
"2018 Apr 09, Monday",6771.13,398.8
"2018 Apr 10, Tuesday",6824.99,415.45
"2018 Apr 11, Wednesday",6942.99,430.81
"2018 Apr 12, Thursday",7916,493.41
"2018 Apr 13, Friday",7893.19,495.22
"2018 Apr 14, Saturday",8003.11,502.4
"2018 Apr 15, Sunday",8355.25,533.74
"2018 Apr 16, Monday",8048.93,511.28
"2018 Apr 17, Tuesday",7892.1,502.42
"2018 Apr 18, Wednesday",8152.05,525.89
"2018 Apr 19, Thursday",8274,567.29
"2018 Apr 20, Friday",8866.27,617.17
"2018 Apr 21, Saturday",8915.42,605.16
"2018 Apr 22, Sunday",8795.01,620.07
"2018 Apr 23, Monday",8931.3,642.85
"2018 Apr 24, Tuesday",9650,703.38
"2018 Apr 25, Wednesday",8865.98,617.49
"2018 Apr 26, Thursday",9272.11,661
"2018 Apr 27, Friday",8922.55,642.77
"2018 Apr 28, Saturday",9329.99,682
"2018 Apr 29, Sunday",9389.01,687.51
"2018 Apr 30, Monday",9243.82,669.81
"2018 May 01, Tuesday",9072.29,670.75
"2018 May 02, Wednesday",9190.48,685.02
"2018 May 03, Thursday",9725.74,775.51
"2018 May 04, Friday",9685,783.01
"2018 May 05, Saturday",9800,812
"2018 May 06, Sunday",9600,784.33
"2018 May 07, Monday",9356.25,752.43
"2018 May 08, Tuesday",9177.81,746.99
"2018 May 09, Wednesday",9300.08,750
"2018 May 10, Thursday",9010.51,723.51
"2018 May 11, Friday",8403.33,678.05
"2018 May 12, Saturday",8475,684.66
"2018 May 13, Sunday",8686.1,729.29
"2018 May 14, Monday",8670,726.9
"2018 May 15, Tuesday",8477.46,706.08
"2018 May 16, Wednesday",8344,707.45
"2018 May 17, Thursday",8059,668.56
"2018 May 18, Friday",8238.51,694.5
"2018 May 19, Saturday",8235.6,695.96
"2018 May 20, Sunday",8516.86,714
"2018 May 21, Monday",8393.44,696.77
"2018 May 22, Tuesday",7987.7,640.5
"2018 May 23, Wednesday",7505,577.2
"2018 May 24, Thursday",7584.15,602.64
"2018 May 25, Friday",7459.11,584.02
"2018 May 26, Saturday",7337.95,584.99
"2018 May 27, Sunday",7346.64,570.75
"2018 May 28, Monday",7107.94,511.33
"2018 May 29, Tuesday",7460,566.66
"2018 May 30, Wednesday",7380.01,557.22
"2018 May 31, Thursday",7485,577.1
"2018 Jun 01, Friday",7514.32,578.89
"2018 Jun 02, Saturday",7636.42,590.46
"2018 Jun 03, Sunday",7706.37,618.63
"2018 Jun 04, Monday",7487.37,591.5
"2018 Jun 05, Tuesday",7612.51,607.6
"2018 Jun 06, Wednesday",7655,606.18
"2018 Jun 07, Thursday",7684.93,603.56
"2018 Jun 08, Friday",7618.83,598.59
"2018 Jun 09, Saturday",7496.4,593.4
"2018 Jun 10, Sunday",6770.31,525.25
"2018 Jun 11, Monday",6881,531.68
"2018 Jun 12, Tuesday",6544.99,494.14
"2018 Jun 13, Wednesday",6302.32,476.02
"2018 Jun 14, Thursday",6638.49,519.75
"2018 Jun 15, Friday",6391.22,487.45
"2018 Jun 16, Saturday",6484.29,497.31
"2018 Jun 17, Sunday",6447.16,496.5
"2018 Jun 18, Monday",6709.02,517.47
"2018 Jun 19, Tuesday",6736.41,538.5
"2018 Jun 20, Wednesday",6756.1,535.99
"2018 Jun 21, Thursday",6719.01,525.49
"2018 Jun 22, Friday",6059.82,462.01
"2018 Jun 23, Saturday",6178.29,475.17
"2018 Jun 24, Sunday",6149.99,454.79
"2018 Jun 25, Monday",6246.01,458.41
"2018 Jun 26, Tuesday",6074.0,429.08
"2018 Jun 27, Wednesday",6132.17,441.41
"2018 Jun 28, Thursday",5851.66,420.0
"2018 Jun 29, Friday",6202.36,434.6
"2018 Jun 30, Saturday",6383.19,453.29
"2018 Jul 01, Sunday",6349.5,451.43
"2018 Jul 02, Monday",6611.79,476.34
"2018 Jul 03, Tuesday",6502.62,461.75
"2018 Jul 04, Wednesday",6587.47,466.9
"2018 Jul 05, Thursday",6532.95,467.25
"2018 Jul 06, Friday",6600.0,469.3
"2018 Jul 07, Saturday",6753.28,484.48
"2018 Jul 08, Sunday",6701.97,486.08
"2018 Jul 09, Monday",6664.01,471.6
"2018 Jul 10, Tuesday",6303.7,432.59
"2018 Jul 11, Wednesday",6390.04,446.25
"2018 Jul 12, Thursday",6249.75,431.46
"2018 Jul 13, Friday",6216.29,432.8
"2018 Jul 14, Saturday",6248.65,434.13
"2018 Jul 15, Sunday",6348.73,449.41
"2018 Jul 16, Monday",6728.81,478.18
"2018 Jul 17, Tuesday",7315.01,499.01
"2018 Jul 18, Wednesday",7378.99,478.81
"2018 Jul 19, Thursday",7470.01,468.39
"2018 Jul 20, Friday",7334.46,448.21
"2018 Jul 21, Saturday",7408.0,461.5
"2018 Jul 22, Sunday",7397.8,456.9
"2018 Jul 23, Monday",7720.09,449.0
"2018 Jul 24, Tuesday",8385.5,478.79
"2018 Jul 25, Wednesday",8157.15,470.81
"2018 Jul 26, Thursday",7931.99,461.42
"2018 Jul 27, Friday",8184.21,469.3
"2018 Jul 28, Saturday",8228.9,468.12
"2018 Jul 29, Sunday",8216.34,466.01
"2018 Jul 30, Monday",8170.01,456.46
"2018 Jul 31, Tuesday",7727.27,432.35
"2018 Aug 01, Wednesday",7603.99,419.6
"2018 Aug 02, Thursday",7533.92,410.71
"2018 Aug 03, Friday",7414.08,417.8
"2018 Aug 04, Saturday",7005.0,407.0
"2018 Aug 05, Sunday",7030.01,408.83
"2018 Aug 06, Monday",6938.0,404.99
"2018 Aug 07, Tuesday",6718.22,378.08
"2018 Aug 08, Wednesday",6282.5,355.7
"2018 Aug 09, Thursday",6546.45,363.99
"2018 Aug 10, Friday",6146.01,330.99
"2018 Aug 11, Saturday",6235.56,318.02
"2018 Aug 12, Sunday",6316.01,318.15
"2018 Aug 13, Monday",6253.67,284.11
"2018 Aug 14, Tuesday",6195.01,279.4
"2018 Aug 15, Wednesday",6269.01,281.21
"2018 Aug 16, Thursday",6315.9,286.67
"2018 Aug 17, Friday",6585.49,317.54
"2018 Aug 18, Saturday",6396.64,296.61
"2018 Aug 19, Sunday",6489.53,300.03
"2018 Aug 20, Monday",6258.74,270.76
"2018 Aug 21, Tuesday",6475.89,281.49
"2018 Aug 22, Wednesday",6359.99,270.47
"2018 Aug 23, Thursday",6526.36,275.87
"2018 Aug 24, Friday",6690.88,281.35
"2018 Aug 25, Saturday",6737.52,277.97
"2018 Aug 26, Sunday",6709.98,274.25
"2018 Aug 27, Monday",6911.9,287.99
"2018 Aug 28, Tuesday",7071.01,295.39
"2018 Aug 29, Wednesday",7030.9,289.0
"2018 Aug 30, Thursday",6983.0,284.52
"2018 Aug 31, Friday",7015.01,281.94
"2018 Sep 01, Saturday",7191.08,294.64
"2018 Sep 02, Sunday",7295.0,295.06
"2018 Sep 03, Monday",7256.98,288.6
"2018 Sep 04, Tuesday",7360.0,285.43
"2018 Sep 05, Wednesday",6687.96,227.56
"2018 Sep 06, Thursday",6495.0,229.03
"2018 Sep 07, Friday",6395.01,215.21
"2018 Sep 08, Saturday",6188.0,197.0
"2018 Sep 09, Sunday",6235.01,195.91
"2018 Sep 10, Monday",6300.0,196.94
"2018 Sep 11, Tuesday",6282.53,185.15
"2018 Sep 12, Wednesday",6326.0,182.79
"2018 Sep 13, Thursday",6485.99,211.39
"2018 Sep 14, Friday",6478.04,210.0
"2018 Sep 15, Saturday",6518.68,221.69
"2018 Sep 16, Sunday",6498.0,220.19
"2018 Sep 17, Monday",6250.7,195.97
"2018 Sep 18, Tuesday",6335.7,208.5
"2018 Sep 19, Wednesday",6386.94,209.81
"2018 Sep 20, Thursday",6493.11,224.41
"2018 Sep 21, Friday",6750.0,247.76
"2018 Sep 22, Saturday",6707.33,240.71
"2018 Sep 23, Sunday",6696.99,244.35
"2018 Sep 24, Monday",6582.09,228.01
"2018 Sep 25, Tuesday",6436.89,219.19
"2018 Sep 26, Wednesday",6455.66,214.15
"2018 Sep 27, Thursday",6680.01,229.0
"2018 Sep 28, Friday",6620.01,220.67
"2018 Sep 29, Saturday",6581.0,231.01
"2018 Sep 30, Sunday",6605.0,232.27
"2018 Oct 01, Monday",6572.83,230.4
"2018 Oct 02, Tuesday",6498.46,224.85
"2018 Oct 03, Wednesday",6466.03,219.01
"2018 Oct 04, Thursday",6547.45,221.0
"2018 Oct 05, Friday",6593.94,226.89
"2018 Oct 06, Saturday",6552.43,223.85
"2018 Oct 07, Sunday",6570.0,224.82
"2018 Oct 08, Monday",6608.07,227.68
"2018 Oct 09, Tuesday",6589.48,226.15
"2018 Oct 10, Wednesday",6524.56,223.61
"2018 Oct 11, Thursday",6154.69,188.32
"2018 Oct 12, Friday",6188.01,194.1
"2018 Oct 13, Saturday",6196.0,196.72
"2018 Oct 14, Sunday",6183.49,191.87
"2018 Oct 15, Monday",6440.42,204.53
"2018 Oct 16, Tuesday",6457.11,205.43
"2018 Oct 17, Wednesday",6443.7,203.21
"2018 Oct 18, Thursday",6394.96,199.2
"2018 Oct 19, Friday",6382.99,200.0
"2018 Oct 20, Saturday",6414.0,202.69
"2018 Oct 21, Sunday",6415.88,202.12
"2018 Oct 22, Monday",6407.65,201.25
"2018 Oct 23, Tuesday",6395.14,201.12
"2018 Oct 24, Wednesday",6415.98,200.68
"2018 Oct 25, Thursday",6395.58,199.65
"2018 Oct 26, Friday",6404.87,200.7
"2018 Oct 27, Saturday",6409.12,201.46
"2018 Oct 28, Sunday",6403.62,202.43
"2018 Oct 29, Monday",6266.0,194.31
"2018 Oct 30, Tuesday",6267.63,195.35
"2018 Oct 31, Wednesday",6304.18,196.95
"2018 Nov 01, Thursday",6344.0,197.96
"2018 Nov 02, Friday",6349.8,199.75
"2018 Nov 03, Saturday",6331.96,198.35
"2018 Nov 04, Sunday",6423.28,210.06
"2018 Nov 05, Monday",6404.0,208.53
"2018 Nov 06, Tuesday",6448.5,218.65
"2018 Nov 07, Wednesday",6503.12,216.84
"2018 Nov 08, Thursday",6406.24,210.34
"2018 Nov 09, Friday",6334.89,208.01
"2018 Nov 10, Saturday",6347.42,210.29
"2018 Nov 11, Sunday",6357.6,209.88
"2018 Nov 12, Monday",6327.87,208.77
"2018 Nov 13, Tuesday",6259.34,203.2
"2018 Nov 14, Wednesday",5605.46,177.79
"2018 Nov 15, Thursday",5579.52,178.89
"2018 Nov 16, Friday",5512.24,172.4
"2018 Nov 17, Saturday",5504.17,172.49
"2018 Nov 18, Sunday",5560.0,175.87
"2018 Nov 19, Monday",4733.5,145.21
"2018 Nov 20, Tuesday",4349.23,127.55
"2018 Nov 21, Wednesday",4545.11,134.73
"2018 Nov 22, Thursday",4265.36,123.25
"2018 Nov 23, Friday",4283.8,121.44
"2018 Nov 24, Saturday",3774.99,110.16
"2018 Nov 25, Sunday",3936.69,114.3
"2018 Nov 26, Monday",3731.32,106.95
"2018 Nov 27, Tuesday",3775.0,108.7
"2018 Nov 28, Wednesday",4225.03,121.94
"2018 Nov 29, Thursday",4248.0,116.38
"2018 Nov 30, Friday",3976.0,111.65
"2018 Dec 01, Saturday",4142.01,116.82
"2018 Dec 02, Sunday",4103.19,114.76
"2018 Dec 03, Monday",3833.47,107.21
"2018 Dec 04, Tuesday",3901.84,108.61
"2018 Dec 05, Wednesday",3694.39,100.76
"2018 Dec 06, Thursday",3433.26,89.09
"2018 Dec 07, Friday",3380.01,92.45
"2018 Dec 08, Saturday",3401.0,89.99
"2018 Dec 09, Sunday",3531.18,92.79
"2018 Dec 10, Monday",3410.15,89.23
"2018 Dec 11, Tuesday",3349.36,86.96
"2018 Dec 12, Wednesday",3430.24,89.09
"2018 Dec 13, Thursday",3265.0,85.35
"2018 Dec 14, Friday",3195.71,83.0
"2018 Dec 15, Saturday",3183.0,83.03
"2018 Dec 16, Sunday",3195.0,83.74
"2018 Dec 17, Monday",3496.82,93.79
"2018 Dec 18, Tuesday",3667.77,101.0
"2018 Dec 19, Wednesday",3682.51,99.34
"2018 Dec 20, Thursday",4075.34,114.52
"2018 Dec 21, Friday",3839.06,107.74
"2018 Dec 22, Saturday",3980.46,116.09
"2018 Dec 23, Sunday",3944.93,129.61
"2018 Dec 24, Monday",4034.0,139.09
"2018 Dec 25, Tuesday",3780.0,128.82
"2018 Dec 26, Wednesday",3809.88,130.47
"2018 Dec 27, Thursday",3589.89,114.63
"2018 Dec 28, Friday",3888.06,136.82
"2018 Dec 29, Saturday",3729.31,134.15
"2018 Dec 30, Sunday",3829.0,138.78
"2018 Dec 31, Monday",3691.86,130.53
"2019 Jan 01, Tuesday",3826.1,139.75
"2019 Jan 02, Wednesday",3890.79,153.5
"2019 Jan 03, Thursday",3787.57,147.23
"2019 Jan 04, Friday",3820.25,153.24
"2019 Jan 05, Saturday",3798.62,154.21
"2019 Jan 06, Sunday",4040.99,155.92
"2019 Jan 07, Monday",4006.01,150.62
"2019 Jan 08, Tuesday",3993.86,148.97
"2019 Jan 09, Wednesday",4004.12,149.5
"2019 Jan 10, Thursday",3626.12,126.41
"2019 Jan 11, Friday",3635.69,125.83
"2019 Jan 12, Saturday",3619.41,124.59
"2019 Jan 13, Sunday",3514.24,115.58
"2019 Jan 14, Monday",3664.19,128.37
"2019 Jan 15, Tuesday",3580.76,120.0
"2019 Jan 16, Wednesday",3609.71,122.12
"2019 Jan 17, Thursday",3640.65,122.55
"2019 Jan 18, Friday",3607.85,119.53
"2019 Jan 19, Saturday",3682.65,123.17
"2019 Jan 20, Sunday",3536.19,117.43
"2019 Jan 21, Monday",3531.76,115.86
"2019 Jan 22, Tuesday",3577.03,118.08
"2019 Jan 23, Wednesday",3553.01,116.55
"2019 Jan 24, Thursday",3568.97,116.4
"2019 Jan 25, Friday",3562.17,114.95
"2019 Jan 26, Saturday",3556.07,115.01
"2019 Jan 27, Sunday",3531.02,111.35
"2019 Jan 28, Monday",3429.95,105.47
"2019 Jan 29, Tuesday",3397.42,104.02
"2019 Jan 30, Wednesday",3437.55,107.61
"2019 Jan 31, Thursday",3411.5,105.79
"2019 Feb 01, Friday",3437.5,105.88
"2019 Feb 02, Saturday",3468.43,109.3
"2019 Feb 03, Sunday",3414.78,105.94
"2019 Feb 04, Monday",3409.57,106.08
"2019 Feb 05, Tuesday",3428.4,106.0
"2019 Feb 06, Wednesday",3367.36,103.36
"2019 Feb 07, Thursday",3359.0,103.21
"2019 Feb 08, Friday",3621.99,117.96
"2019 Feb 09, Saturday",3623.73,118.06
"2019 Feb 10, Sunday",3648.84,123.94
"2019 Feb 11, Monday",3590.36,119.55
"2019 Feb 12, Tuesday",3588.06,120.82
"2019 Feb 13, Wednesday",3576.68,120.74
"2019 Feb 14, Thursday",3561.5,119.39
"2019 Feb 15, Friday",3566.59,120.42
"2019 Feb 16, Saturday",3582.37,121.56
"2019 Feb 17, Sunday",3625.08,132.34
"2019 Feb 18, Monday",3867.0,144.62
"2019 Feb 19, Tuesday",3888.01,142.69
"2019 Feb 20, Wednesday",3938.99,147.19
"2019 Feb 21, Thursday",3897.71,144.21
"2019 Feb 22, Friday",3942.02,146.68
"2019 Feb 23, Saturday",4110.0,157.56
"2019 Feb 24, Sunday",3734.22,131.76
"2019 Feb 25, Monday",3818.79,137.64
"2019 Feb 26, Tuesday",3799.48,135.66
"2019 Feb 27, Wednesday",3799.91,134.46
"2019 Feb 28, Thursday",3792.14,134.48
"2019 Mar 01, Friday",3806.17,134.72
"2019 Mar 02, Saturday",3809.7,132.32
"2019 Mar 03, Sunday",3786.93,129.78
"2019 Mar 04, Monday",3700.72,125.24
"2019 Mar 05, Tuesday",3844.59,136.3
"2019 Mar 06, Wednesday",3851.89,137.0
"2019 Mar 07, Thursday",3857.05,136.29
"2019 Mar 08, Friday",3843.12,132.75
"2019 Mar 09, Saturday",3917.0,136.41
"2019 Mar 10, Sunday",3900.93,134.66
"2019 Mar 11, Monday",3849.68,132.05
"2019 Mar 12, Tuesday",3860.0,132.8
"2019 Mar 13, Wednesday",3851.02,131.16
"2019 Mar 14, Thursday",3853.95,131.4
"2019 Mar 15, Friday",3902.8,135.99
"2019 Mar 16, Saturday",3990.0,140.48
"2019 Mar 17, Sunday",3967.01,138.07
"2019 Mar 18, Monday",3970.5,137.01
"2019 Mar 19, Tuesday",4000.85,138.15
"2019 Mar 20, Wednesday",4031.85,138.73
"2019 Mar 21, Thursday",3972.76,134.41
"2019 Mar 22, Friday",3983.78,135.63
"2019 Mar 23, Saturday",3983.43,136.52
